,item,condition,ambiguity,Sentence,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",As,As,0,10.346118927001953,14.926294468433161,10.346118927001953,14.926294468433161
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",soon,soon,1,4.550017356872559,6.564287476718749,4.550017356872559,6.564287476718749
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",as,as,2,0.005741414614021778,0.008283110391336642,0.005741414614021778,0.008283110391336642
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,3,1.9804831743240356,2.8572332541613186,1.9804831743240356,2.8572332541613186
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",meeting,meeting,4,7.226336479187012,10.425399802318115,7.226336479187012,10.425399802318115
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","ended.,","ended,",5,3.5584473311901093,5.133754317972538,1.7792236655950546,2.566877158986269
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",Paul,Paul,6,6.605685234069824,9.529989328865987,6.605685234069824,9.529989328865987
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",gave,gave,7,5.504833221435547,7.9417955894858805,5.504833221435547,7.9417955894858805
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,8,2.1819400787353516,3.1478741311083662,2.1819400787353516,3.1478741311083662
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",project,project,9,8.706146240234375,12.560314006040228,8.706146240234375,12.560314006040228
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",files,files,10,10.879130363464355,15.695267424554572,10.879130363464355,15.695267424554572
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,11,0.6705666184425354,0.9674231350127276,0.6705666184425354,0.9674231350127276
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",his,his,12,3.008549451828003,4.34041937442147,3.008549451828003,4.34041937442147
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.","assistant.,","assistant,",13,5.183793783187866,7.4786335839961735,2.591896891593933,3.7393167919980868
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",eager,eager,14,10.764120101928711,15.529342690585755,10.764120101928711,15.529342690585755
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",to,to,15,0.13720914721488953,0.19795095625152484,0.13720914721488953,0.19795095625152484
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",wrap,wrap,16,7.993149280548096,11.531676828131923,7.993149280548096,11.531676828131923
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",up,up,17,0.5033436417579651,0.7261713758272073,0.5033436417579651,0.7261713758272073
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",the,the,18,1.110592246055603,1.602245925834154,1.110592246055603,1.602245925834154
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",day.s,day's,19,5.357088923454285,7.728645623468692,2.6785444617271423,3.864322811734346
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks.",tasks..,tasks.,20,5.722912639379501,8.256417684273575,2.8614563196897507,4.128208842136788
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",As,As,0,10.346118927001953,14.926294468433161,10.346118927001953,14.926294468433161
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",soon,soon,1,4.550017356872559,6.564287476718749,4.550017356872559,6.564287476718749
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",as,as,2,0.005741414614021778,0.008283110391336642,0.005741414614021778,0.008283110391336642
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",the,the,3,1.9804831743240356,2.8572332541613186,1.9804831743240356,2.8572332541613186
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",meeting,meeting,4,7.226336479187012,10.425399802318115,7.226336479187012,10.425399802318115
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.","ended.,","ended,",5,3.5584473311901093,5.133754317972538,1.7792236655950546,2.566877158986269
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",Paul,Paul,6,6.605685234069824,9.529989328865987,6.605685234069824,9.529989328865987
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",gave,gave,7,5.504833221435547,7.9417955894858805,5.504833221435547,7.9417955894858805
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",the,the,8,2.1819400787353516,3.1478741311083662,2.1819400787353516,3.1478741311083662
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",project,project,9,8.706146240234375,12.560314006040228,8.706146240234375,12.560314006040228
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",files,files,10,10.879130363464355,15.695267424554572,10.879130363464355,15.695267424554572
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",his,his,11,5.910640716552734,8.52725205024702,5.910640716552734,8.52725205024702
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.","assistant.,","assistant,",12,11.599196195602417,16.73410282969374,5.7995980978012085,8.36705141484687
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",eager,eager,13,11.457714080810547,16.529987284309023,11.457714080810547,16.529987284309023
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",to,to,14,0.22496093809604645,0.32455002978489533,0.22496093809604645,0.32455002978489533
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",wrap,wrap,15,7.958355903625488,11.481480595789897,7.958355903625488,11.481480595789897
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",up,up,16,0.42561039328575134,0.6140260037441548,0.42561039328575134,0.6140260037441548
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",the,the,17,1.256501317024231,1.8127482189413093,1.256501317024231,1.8127482189413093
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",day.s,day's,18,5.196185827255249,7.496511524518664,2.5980929136276245,3.748255762259332
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks.",tasks..,tasks.,19,5.675338804721832,8.187783148936884,2.837669402360916,4.093891574468442
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",Unsure,Unsure,0,14.220203399658203,20.51541692511927,14.220203399658203,20.51541692511927
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",whether,whether,1,4.242992401123047,6.121344095629776,4.242992401123047,6.121344095629776
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",it,it,2,3.2862210273742676,4.74101477945789,3.2862210273742676,4.74101477945789
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",was,was,3,2.319453001022339,3.3462633421499524,2.319453001022339,3.3462633421499524
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",the,the,4,3.009446144104004,4.3417130279212595,3.009446144104004,4.3417130279212595
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",right,right,5,3.1529428958892822,4.548735080105555,3.1529428958892822,4.548735080105555
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.","decision.,","decision,",6,7.2524614334106445,10.46309014422,3.6262307167053223,5.23154507211
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",Mia,Mia,7,11.443727493286133,16.509808903848594,11.443727493286133,16.509808903848594
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",sold,sold,8,8.014887809753418,11.563038896412662,8.014887809753418,11.563038896412662
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",her,her,9,1.6045260429382324,2.31484176512418,1.6045260429382324,2.31484176512418
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",furniture,furniture,10,7.814567565917969,11.274037874041591,7.814567565917969,11.274037874041591
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",to,to,11,1.8485751152038574,2.6669301514153494,1.8485751152038574,2.6669301514153494
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",a,a,12,1.2497998476028442,1.8030800422404056,1.2497998476028442,1.8030800422404056
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",local,local,13,3.3035497665405273,4.766014865517912,3.3035497665405273,4.766014865517912
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment.",dealer,dealer,14,4.832937240600586,6.972454589942057,4.832937240600586,6.972454589942057
