,item,condition,ambiguity,Sentence
0,1,PREP_DAT,False,"As soon as the meeting ended, Paul gave the project files to his assistant, eager to wrap up the day's tasks."
1,1,PREP_DAT,True,"As soon as the meeting ended, Paul gave the project files his assistant, eager to wrap up the day's tasks."
2,2,PREP_DAT,False,"Unsure whether it was the right decision, Mia sold her furniture to a local dealer before moving out of her old apartment."
3,2,PREP_DAT,True,"Unsure whether it was the right decision, Mia sold her furniture a local dealer before moving out of her old apartment."
4,3,PREP_DAT,False,"Without waiting for a reply, Alan showed his portfolio to the hiring manager and moved on to the next part of the interview."
5,3,PREP_DAT,True,"Without waiting for a reply, Alan showed his portfolio the hiring manager and moved on to the next part of the interview."
6,4,PREP_DAT,False,I was surprised when I heard that Mark had given his collection of vintage records to his cousin as a birthday present.
7,4,PREP_DAT,True,I was surprised when I heard that Mark had given his collection of vintage records his cousin as a birthday present.
8,5,PREP_DAT,False,"Realizing he wouldn't use it anymore, Lucas sold his gaming console to his neighbor, hoping to make a bit of extra cash."
9,5,PREP_DAT,True,"Realizing he wouldn't use it anymore, Lucas sold his gaming console his neighbor, hoping to make a bit of extra cash."
10,6,PREP_DAT,False,"After finishing her shift, Emily handed the documents to her supervisor and hurried out of the office."
11,6,PREP_DAT,True,"After finishing her shift, Emily handed the documents her supervisor and hurried out of the office."
12,7,PREP_DAT,False,"Without thinking twice, Michael tossed his keys to his roommate before heading out for the weekend."
13,7,PREP_DAT,True,"Without thinking twice, Michael tossed his keys his roommate before heading out for the weekend."
14,8,PREP_DAT,False,"Although the weather was terrible, Sarah delivered a package to the neighbors and then went inside to warm up."
15,8,PREP_DAT,True,"Although the weather was terrible, Sarah delivered a package the neighbors and then went inside to warm up."
16,9,PREP_DAT,False,"Before the event started, the coach distributed the team jerseys to the players and explained the game plan."
17,9,PREP_DAT,True,"Before the event started, the coach distributed the team jerseys the players and explained the game plan."
18,10,PREP_DAT,False,"After weeks of planning, Jessica finally presented the proposal to the board members, confident they would approve it."
19,10,PREP_DAT,True,"After weeks of planning, Jessica finally presented the proposal the board members, confident they would approve it."
20,11,PREP_DAT,False,"As the concert came to an end, the singer threw a signed poster to the audience, which caused a frenzy among the fans."
21,11,PREP_DAT,True,"As the concert came to an end, the singer threw a signed poster the audience, which caused a frenzy among the fans."
22,12,PREP_DAT,False,The teacher always makes sure to explain the new concepts to the students before assigning the homework.
23,12,PREP_DAT,True,The teacher always makes sure to explain the new concepts the students before assigning the homework.
